Report_No,Involvement,Race,Sex,Age,Firearm Used Flag  
110000056,VIC,B,F,21,N
110000057,SUS,U,U,,N
110000057,VIC,B,M,30,N
110000058,SUS,B,M,,N
110000058,VIC,B,F,27,N
110000059,VIC,B,M,32,N
110000059,VIC,B,F,35,N
110000060,SUS,B,F,27,N
110000060,VIC,W,F,41,N
110000061,ARR,W,M,22,N
110000061,VIC,W,M,17,N
110000061,VIC,W,M,44,N
110000064,VIC,W,F,20,N
110000065,SUS,U,U,,N
110000065,VIC,W,M,38,N
110000067,ARR,B,F,31,N
110000067,VIC,B,M,46,N
110000072,SUS,U,U,,N
110000072,VIC,B,F,61,N
110000075,ARR,B,F,35,N
110000075,VIC,B,F,3,N
110000075,VIC,B,F,11,N
110000077,SUS,U,U,,N
110000077,VIC,B,F,47,N
110000077,SUS,U,U,,N
110000077,VIC,B,F,47,N
110000077,SUS,U,U,,N
110000077,VIC,B,F,47,N
110000078,SUS,U,U,,N
110000078,VIC,B,F,26,N
110000079,SUS,W,M,36,N
110000079,VIC,B,M,33,N
110000080,SUS,U,U,,N
110000080,VIC,,,,N
110000081,SUS,U,U,,N
110000081,VIC,B,M,21,N
110000082,SUS,U,U,,N
110000083,SUS,B,M,,N
110000083,VIC,W,F,34,N
110000084,ARR,B,M,29,N
110000084,VIC,B,F,31,N
110000085,SUS,U,U,,N
110000085,VIC,W,F,23,N
110000086,SUS,U,U,,N
110000086,VIC,,,,N
110000087,SUS,W,M,62,N
110000087,VIC,W,F,56,N
110000088,SUS,U,U,,N
110000088,VIC,B,F,20,N
110000089,SUS,B,M,,N
110000089,SUS,B,M,,N
110000089,VIC,W,M,65,N
110000093,SUS,B,M,37,N
110000093,VIC,W,F,32,N
110000095,SUS,U,U,,N
110000095,VIC,B,M,23,N
110000097,SUS,U,U,,N
110000097,VIC,B,F,31,N
110000098,SUS,U,U,,Y
110000098,VIC,B,F,56,Y
110000098,VIC,B,M,54,Y
110000100,SUS,U,U,,N
110000100,VIC,W,F,25,N
110000100,VIC,W,F,26,N
110000102,VIC,B,F,41,N
110000102,VIC,B,F,41,N
110000103,SUS,U,U,,N
110000103,VIC,W,M,23,N
110000103,SUS,U,U,,N
110000103,VIC,W,M,23,N
110000104,SUS,U,U,,N
110000104,VIC,W,M,24,N
110000105,SUS,U,U,,N
110000105,VIC,W,M,54,N
110000106,SUS,U,U,,N
110000106,VIC,W,M,50,N
110000107,SUS,B,F,,N
110000107,VIC,W,F,30,N
110000108,SUS,U,U,,N
110000108,VIC,W,M,26,N
110000110,SUS,U,U,,N
110000110,VIC,W,M,50,N
110000111,SUS,W,M,33,N
110000111,VIC,W,F,18,N
110000114,SUS,W,M,,Y
110000114,VIC,B,M,28,Y
110000115,ARR,W,M,55,N
110000115,VIC,W,F,82,N
110000116,SUS,U,U,,N
110000116,VIC,W,F,21,N
110000118,SUS,U,U,,N
110000118,VIC,W,M,26,N
110000120,SUS,U,U,,N
110000120,VIC,B,F,25,N
110000121,SUS,U,U,,N
110000121,VIC,U,U,,N
110000124,SUS,U,U,,N
110000124,VIC,W,M,61,N
110000125,SUS,U,U,,N
110000125,VIC,B,F,45,N
110000126,SUS,B,M,,N
110000126,SUS,B,M,25,N
110000126,VIC,B,F,61,N
110000127,SUS,U,M,,N
110000127,VIC,W,F,33,N
110000128,SUS,U,U,,N
110000128,VIC,W,M,24,N
110000129,SUS,B,F,24,Y
110000129,SUS,B,F,24,Y
110000129,VIC,B,M,24,Y
110000130,SUS,U,U,,N
110000130,VIC,,,,N
110000132,SUS,U,U,,N
110000132,VIC,W,F,22,N
110000134,SUS,U,U,,N
110000134,VIC,W,M,54,N
110000135,SUS,W,M,18,N
110000135,SUS,W,M,23,N
110000135,VIC,,,,N
110000137,SUS,U,U,,N
110000137,VIC,W,M,61,N
110000138,SUS,U,U,,N
110000138,VIC,B,M,53,N
110000141,SUS,W,M,43,N
110000141,VIC,W,F,39,N
110000142,SUS,U,U,,N
110000142,VIC,B,F,61,N
110000144,SUS,U,U,,N
110000144,VIC,W,F,21,N
110000145,VIC,W,F,31,N
110000146,SUS,U,U,,Y
110000146,VIC,B,M,50,Y
110000147,SUS,U,U,,N
110000147,VIC,B,M,71,N
110000148,SUS,B,F,18,N
110000148,VIC,W,F,22,N
110000150,ARR,W,M,59,N
110000150,VIC,,,,N
110000151,SUS,B,M,,N
110000151,SUS,B,M,,N
110000151,VIC,B,M,41,N
110000152,SUS,U,U,,Y
110000152,VIC,B,F,49,Y
110000153,SUS,U,U,,N
110000153,VIC,W,M,26,N
110000154,SUS,U,U,,N
110000154,VIC,W,F,71,N
110000155,SUS,U,U,,N
110000155,VIC,W,F,21,N
110000155,VIC,W,F,22,N
110000156,SUS,B,M,,N
110000156,SUS,B,M,,N
110000156,VIC,W,M,22,N
110000156,VIC,W,F,20,N
110000156,SUS,B,M,,N
110000156,SUS,B,M,,N
110000156,VIC,W,M,22,N
110000156,VIC,W,F,20,N
110000157,SUS,U,U,,N
110000157,VIC,W,M,30,N
110000158,ARR,B,M,18,N
110000160,ARR,B,F,17,N
110000160,VIC,W,F,40,N
110000162,SUS,B,M,31,N
110000162,VIC,B,F,21,N
110000163,SUS,B,M,13,N
110000163,VIC,B,F,15,N
110000165,SUS,U,U,,N
110000165,VIC,W,F,82,N
110000166,SUS,U,U,,N
110000166,VIC,W,F,43,N
110000167,SUS,U,U,,N
110000167,VIC,W,M,39,N
110000169,ARR,W,F,42,N
110000169,VIC,,,,N
110000170,SUS,W,M,,N
110000170,VIC,W,F,54,N
110000172,SUS,U,U,,N
110000172,VIC,B,M,28,N
110000173,SUS,W,M,,N
110000173,VIC,W,F,33,N
110000174,SUS,W,M,40,N
110000174,VIC,B,F,13,N
110000177,SUS,B,M,30,N
110000177,VIC,B,F,36,N
110000177,VIC,B,M,32,N
110000177,VIC,B,M,18,N
110000178,SUS,W,M,52,N
110000178,SUS,W,M,50,N
110000178,VIC,W,F,81,N
110000179,SUS,U,U,,N
110000179,VIC,B,F,59,N
110000182,ARR,B,F,40,N
110000182,VIC,,,,N
110000183,SUS,U,U,,N
110000183,VIC,W,M,46,N
110000184,SUS,U,U,,N
110000184,VIC,B,F,55,N
110000185,SUS,U,U,,N
110000185,VIC,U,U,,N
110000186,SUS,U,U,,N
110000186,VIC,W,M,34,N
110000187,SUS,U,U,,N
110000187,VIC,W,F,55,N
110000187,VIC,,,,N
110000187,VIC,W,M,56,N
110000188,SUS,U,U,,N
110000188,VIC,B,F,34,N
110000189,SUS,U,U,,N
110000189,VIC,U,F,45,N
110000191,SUS,U,U,,N
110000191,VIC,B,F,22,N
110000193,SUS,U,U,,N
110000193,VIC,B,M,57,N
110000194,VIC,W,M,27,N
110000195,SUS,W,M,,N
110000195,VIC,,,,N
110000196,SUS,B,F,26,N
110000196,VIC,B,F,39,N
110000197,ARR,B,M,42,Y
110000197,ARR,B,M,30,Y
110000197,SUS,U,U,,Y
110000197,VIC,B,M,31,Y
110000197,ARR,B,M,42,N
110000197,ARR,B,M,30,N
110000197,SUS,U,U,,N
110000197,VIC,B,M,31,N
110000199,ARR,W,M,30,N
110000199,VIC,W,F,27,N
110000200,SUS,W,M,15,N
110000200,VIC,W,M,12,N
110000201,SUS,U,U,,N
110000201,VIC,,,,N
110000202,VIC,W,M,24,N
110000203,ARR,B,F,18,N
110000203,VIC,B,M,24,N
110000205,ARR,B,M,26,N
110000205,ARR,B,M,21,N
110000205,ARR,B,M,29,N
110000205,VIC,,,,N
110000207,SUS,U,U,,N
110000207,VIC,B,M,30,N
110000208,SUS,B,F,20,N
110000208,VIC,W,F,32,N
110000210,SUS,U,U,,N
110000210,VIC,B,M,20,N
110000211,ARR,B,M,40,N
110000213,SUS,W,F,35,N
110000213,SUS,B,F,,N
110000213,SUS,B,F,,N
110000213,VIC,W,F,40,N
110000216,SUS,U,U,,N
110000216,VIC,W,M,18,N
110000217,SUS,U,U,,N
110000217,VIC,W,M,36,N
110000217,SUS,U,U,,N
110000217,VIC,W,M,36,N
110000218,SUS,U,U,,N
110000218,VIC,B,F,25,N
110000220,SUS,U,U,,N
110000220,VIC,,,,N
110000221,SUS,U,U,,N
110000221,VIC,W,M,41,N
110000222,ARR,B,M,27,N
110000222,VIC,,,,N
110000223,SUS,B,M,,Y
110000223,SUS,B,M,17,Y
110000223,SUS,B,M,19,Y
110000223,SUS,B,M,17,Y
110000223,VIC,B,F,14,Y
110000223,VIC,B,M,9,Y
110000223,VIC,B,F,17,Y
110000224,ARR,B,F,19,N
110000224,VIC,B,M,26,N
110000224,ARR,B,F,19,N
110000224,VIC,B,M,26,N
110000226,VIC,,,,Y
110000228,SUS,U,U,,N
110000228,VIC,W,F,29,N
110000231,ARR,W,F,20,N
110000232,ARR,W,M,37,N
110000232,VIC,W,M,25,N
110000233,ARR,W,M,21,N
110000233,VIC,,,,N
110000234,ARR,W,F,18,N
110000234,VIC,,,,N
110000235,SUS,U,U,,N
110000235,VIC,B,F,17,N
110000236,ARR,B,M,21,N
110000236,VIC,B,F,23,N
110000236,VIC,B,F,22,N
110000237,SUS,U,U,,N
110000237,VIC,B,F,26,N
110000238,ARR,B,M,25,N
110000238,VIC,W,F,22,N
110000239,ARR,B,F,17,N
110000239,VIC,B,F,53,N
110000240,SUS,W,F,,N
110000240,SUS,W,F,,N
110000240,VIC,W,F,21,N
110000241,SUS,U,M,,Y
110000241,VIC,W,M,28,Y
110000242,ARR,B,F,35,N
110000242,VIC,,,,N
110000244,SUS,B,M,25,N
110000244,SUS,B,M,24,N
110000244,VIC,B,F,2,N
110000245,ARR,B,M,32,N
110000248,SUS,B,M,55,N
110000248,VIC,B,F,51,N
110000251,ARR,B,M,42,N
110000251,VIC,B,F,30,N
110000252,SUS,B,M,36,N
110000252,SUS,B,M,36,N
110000252,VIC,B,F,26,N
110000253,SUS,U,U,,N
110000253,VIC,U,F,22,N
110000254,ARR,B,M,39,N
110000254,VIC,,,,N
110000257,SUS,U,U,,N
110000257,VIC,W,M,35,N
110000261,SUS,U,U,,N
110000261,VIC,W,M,30,N
110000262,SUS,U,U,,N
110000262,VIC,W,M,54,N
110000263,SUS,U,U,,N
110000263,VIC,B,F,47,N
110000264,SUS,U,U,,N
110000264,VIC,B,F,42,N
110000265,SUS,U,U,,N
110000265,VIC,W,M,37,N
110000265,SUS,U,U,,N
110000265,VIC,W,M,37,N
110000266,SUS,W,M,,N
110000266,SUS,W,M,,N
110000266,VIC,,,,N
110000269,SUS,B,M,32,N
110000269,SUS,B,M,23,N
110000269,VIC,B,M,20,N
110000270,ARR,W,M,39,N
110000270,VIC,W,F,58,N
110000271,ARR,W,M,61,N
110000271,VIC,,,,N
110000272,SUS,U,U,,N
110000272,VIC,W,M,,N
110000274,ARR,B,F,54,N
110000274,VIC,B,F,74,N
110000274,VIC,,,,N
110000274,ARR,B,F,54,N
110000274,VIC,B,F,74,N
110000274,VIC,,,,N
110000275,SUS,U,U,,N
110000275,VIC,,,,N
110000277,ARR,W,F,34,N
110000277,VIC,W,M,36,N
110000278,SUS,W,M,,N
110000278,SUS,W,F,,N
110000278,VIC,W,F,51,N
110000280,SUS,B,M,25,N
110000280,VIC,W,F,22,N
110000282,SUS,B,F,,N
110000282,VIC,,,,N
110000284,ARR,B,F,29,N
110000284,VIC,,,,N
110000285,SUS,U,U,,N
110000285,VIC,B,M,22,N
110000287,SUS,U,U,,N
110000287,VIC,W,F,24,N
110000289,SUS,W,F,22,N
110000289,VIC,W,M,26,N
110000290,SUS,U,U,,N
110000290,VIC,W,M,36,N
110000291,SUS,B,M,49,N
110000291,VIC,W,M,35,N
110000292,SUS,B,M,51,N
110000292,VIC,W,M,43,N
110000293,SUS,B,M,20,N
110000293,SUS,B,M,20,N
110000293,SUS,B,M,20,N
110000293,SUS,B,M,20,N
110000293,VIC,W,F,60,N
110000294,SUS,U,U,,N
110000294,VIC,B,M,85,N
110000295,SUS,U,U,,N
110000295,VIC,B,F,40,N
110000296,SUS,U,U,,N
110000296,VIC,B,F,50,N
110000299,SUS,B,M,23,N
110000299,VIC,B,F,32,N
110000300,SUS,U,U,,N
110000300,VIC,W,F,30,N
110000301,SUS,W,M,56,N
110000301,VIC,B,F,56,N
110000302,SUS,U,U,,N
110000302,VIC,W,M,59,N
110000304,ARR,B,F,23,N
110000304,VIC,,,,N
110000306,ARR,W,F,24,N
110000306,VIC,,,,N
110000307,SUS,U,U,,N
110000307,VIC,W,M,37,N
110000309,SUS,U,U,,Y
110000309,VIC,B,M,54,Y
110000312,SUS,U,U,,N
110000312,VIC,W,F,37,N
110000312,VIC,W,F,32,N
110000313,ARR,W,M,66,N
110000313,VIC,,,,N
110000314,SUS,W,F,37,N
110000314,VIC,,,,N
110000316,SUS,B,M,14,N
110000316,VIC,,,,N
110000319,SUS,U,U,,Y
110000319,VIC,B,M,23,Y
110000321,ARR,W,M,22,N
110000321,VIC,B,M,53,N
110000323,SUS,U,U,,N
110000323,VIC,,,,N
110000323,VIC,W,M,46,N
110000323,VIC,W,M,21,N
110000323,VIC,W,M,23,N
110000323,SUS,U,U,,N
110000323,VIC,,,,N
110000323,VIC,W,M,46,N
110000323,VIC,W,M,21,N
110000323,VIC,W,M,23,N
110000325,SUS,U,U,,N
110000325,VIC,B,F,42,N
110000326,SUS,U,U,,N
