Report_No,Involvement,Race,Sex,Age,Firearm Used Flag  
110019706,VIC,B,F,25,N
110019709,VIC,,,,N
110019710,SUS,U,U,,N
110019710,VIC,W,M,19,N
110019713,SUS,B,M,27,N
110019713,VIC,B,F,26,N
110019715,SUS,U,U,,N
110019715,VIC,B,F,26,N
110019716,SUS,U,U,,N
110019716,VIC,W,M,48,N
110019718,ARR,B,M,19,N
110019718,VIC,,,,N
110019718,VIC,,,,N
110019720,SUS,U,U,,N
110019720,VIC,B,M,47,N
110019721,SUS,B,F,13,N
110019721,SUS,B,F,13,N
110019721,VIC,B,M,75,N
110019722,VIC,W,F,53,N
110019727,VIC,,,,Y
110019728,SUS,B,M,50,N
110019728,VIC,B,F,52,N
110019730,ARR,B,M,46,N
110019730,VIC,W,M,41,N
110019731,SUS,U,U,,N
110019731,VIC,B,F,21,N
110019733,VIC,,,,N
110019734,SUS,B,M,35,N
110019734,VIC,W,F,30,N
110019734,VIC,B,M,15,N
110019734,VIC,B,M,12,N
110019734,VIC,B,M,12,N
110019734,VIC,B,F,18,N
110019734,VIC,B,M,31,N
110019735,VIC,,,,N
110019737,ARR,B,M,19,N
110019737,VIC,B,M,38,N
110019738,SUS,B,M,65,N
110019738,VIC,B,F,5,N
110019739,ARR,W,M,24,N
110019739,VIC,W,M,23,N
110019739,VIC,W,M,27,N
110019741,ARR,B,M,25,N
110019741,VIC,,,,N
110019742,ARR,W,M,31,N
110019744,SUS,B,M,,Y
110019744,VIC,B,M,27,Y
110019745,SUS,U,U,,N
110019745,VIC,B,F,62,N
110019746,SUS,W,F,48,N
110019746,VIC,W,F,51,N
110019747,SUS,U,U,,N
110019747,VIC,B,F,36,N
110019750,ARR,B,F,27,N
110019750,VIC,B,M,12,N
110019754,SUS,U,U,,N
110019754,VIC,,,,N
110019757,ARR,W,M,55,N
110019757,VIC,,,,N
110019758,ARR,W,M,50,N
110019760,ARR,W,F,42,N
110019761,SUS,B,M,,Y
110019761,VIC,B,M,36,Y
110019762,SUS,W,M,35,N
110019762,VIC,W,F,72,N
110019763,SUS,U,M,,N
110019763,VIC,B,F,49,N
110019764,VIC,,,,N
110019766,ARR,W,M,23,N
110019766,VIC,,,,N
110019767,ARR,W,M,22,N
110019768,ARR,B,M,27,N
110019768,VIC,B,F,28,N
110019770,SUS,U,U,,N
110019770,VIC,,,,N
110019774,SUS,U,U,,N
110019774,VIC,W,F,29,N
110019774,SUS,U,U,,N
110019774,VIC,W,F,29,N
110019775,SUS,U,U,,N
110019775,VIC,B,F,49,N
110019777,SUS,W,M,,N
110019777,VIC,,,,N
110019778,SUS,U,U,,N
110019778,VIC,W,M,18,N
110019779,ARR,B,M,15,N
110019779,VIC,,,,N
110019780,SUS,U,U,,N
110019780,VIC,W,F,47,N
110019781,SUS,U,U,,N
110019781,VIC,W,M,31,N
110019784,ARR,B,M,58,N
110019784,VIC,,,,N
110019784,VIC,,,,N
110019784,ARR,B,M,58,N
110019784,VIC,,,,N
110019784,VIC,,,,N
110019786,SUS,U,U,,N
110019786,VIC,W,M,41,N
110019787,SUS,U,U,,N
110019787,VIC,B,F,24,N
110019789,SUS,U,U,,N
110019789,VIC,W,M,39,N
110019790,SUS,U,U,,N
110019790,VIC,W,F,37,N
110019791,VIC,B,M,43,Y
110019791,VIC,B,M,43,N
110019792,SUS,U,U,,N
110019792,VIC,,,,N
110019797,SUS,U,U,,N
110019797,VIC,W,M,33,N
110019798,VIC,,,,N
110019800,SUS,U,U,,N
110019800,VIC,B,M,41,N
110019801,VIC,B,M,9,N
110019802,SUS,U,U,,N
110019802,VIC,B,F,22,N
110019803,SUS,B,M,44,N
110019803,VIC,W,M,40,N
110019805,ARR,B,M,31,N
110019805,VIC,B,F,30,N
110019807,SUS,U,U,,N
110019807,VIC,W,M,50,N
110019808,SUS,U,U,,N
110019808,VIC,B,F,50,N
110019810,SUS,U,U,,N
110019810,VIC,W,F,27,N
110019810,SUS,U,U,,N
110019810,VIC,W,F,27,N
110019811,ARR,B,M,13,N
110019813,SUS,B,M,37,N
110019813,VIC,B,F,25,N
110019814,SUS,W,F,30,N
110019814,VIC,W,F,11,N
110019815,SUS,W,M,25,N
110019815,VIC,W,M,23,N
110019816,SUS,U,U,,N
110019816,VIC,,,,N
110019817,SUS,U,U,,N
110019817,VIC,B,F,21,N
110019820,SUS,U,U,,N
110019820,VIC,,,,N
110019822,SUS,U,U,,N
110019822,VIC,W,F,29,N
110019823,ARR,B,M,50,N
110019823,VIC,W,M,33,N
110019825,SUS,U,U,,N
110019825,VIC,,,,N
110019826,SUS,U,U,,N
110019826,VIC,,,,N
110019827,SUS,U,U,,N
110019827,VIC,,,,N
110019828,SUS,U,U,,N
110019828,VIC,,,,N
110019829,SUS,U,U,,N
110019829,VIC,,,,N
110019830,SUS,U,U,,N
110019830,VIC,W,M,46,N
110019830,VIC,U,U,,N
110019831,SUS,U,U,,N
110019831,VIC,W,M,57,N
110019832,SUS,U,U,,N
110019832,VIC,,,,N
110019837,SUS,W,F,40,N
110019837,VIC,,,,N
110019838,SUS,U,U,,N
110019838,VIC,,,,N
110019839,SUS,B,M,,Y
110019839,SUS,B,M,,Y
110019839,VIC,U,U,,Y
110019840,VIC,,,,N
110019841,SUS,U,U,,N
110019841,VIC,,,,N
110019842,SUS,U,U,,N
110019842,VIC,B,M,47,N
110019843,SUS,U,U,,N
110019843,VIC,,,,N
110019844,SUS,U,U,,N
110019844,VIC,,,,N
110019845,SUS,U,U,,N
110019845,VIC,,,,N
110019846,SUS,U,U,,N
110019846,VIC,,,,N
110019847,SUS,U,U,,N
110019847,VIC,B,F,21,N
110019848,SUS,U,U,,N
110019848,VIC,W,F,20,N
110019849,SUS,U,U,,N
110019849,VIC,B,F,24,N
110019851,SUS,W,M,16,N
110019851,VIC,W,M,9,N
110019854,SUS,U,U,,N
110019854,VIC,W,F,57,N
110019856,SUS,U,U,,N
110019856,VIC,W,M,34,N
110019857,SUS,U,U,,N
110019857,VIC,U,U,,N
110019859,ARR,B,F,14,N
110019859,VIC,B,F,15,N
110019860,SUS,U,U,,N
110019860,VIC,W,M,53,N
110019860,SUS,U,U,,N
110019860,VIC,W,M,53,N
110019863,SUS,B,M,40,N
110019863,VIC,,,,N
110019865,SUS,B,F,41,N
110019865,VIC,W,M,40,N
110019865,VIC,B,F,41,N
110019866,SUS,U,U,,N
110019866,VIC,W,M,58,N
110019868,SUS,U,U,20,N
110019868,SUS,B,M,20,N
110019868,SUS,B,M,20,N
110019868,VIC,,,,N
110019870,ARR,W,F,30,N
110019870,VIC,W,M,34,N
110019875,ARR,B,M,19,N
110019875,VIC,U,U,,N
110019876,VIC,,,,N
110019879,SUS,B,M,20,N
110019879,SUS,B,M,20,N
110019879,VIC,W,F,42,N
110019880,SUS,U,U,,N
110019880,VIC,W,M,53,N
110019881,SUS,U,U,,N
110019881,VIC,B,F,33,N
110019886,SUS,U,U,,Y
110019886,SUS,U,U,,Y
110019886,VIC,B,M,54,Y
110019886,VIC,B,F,64,Y
110019886,ARR,B,M,18,N
110019886,VIC,,,,N
110019889,VIC,W,F,31,N
110019892,SUS,U,U,,N
110019892,VIC,B,F,27,N
110019893,ARR,W,M,17,N
110019893,VIC,W,M,18,N
110019896,VIC,,,,N
110019897,SUS,U,U,,N
110019897,SUS,U,U,,N
110019897,VIC,B,F,50,N
110019898,ARR,W,M,36,N
110019898,VIC,,,,N
110019899,SUS,U,U,,N
110019899,VIC,W,M,45,N
110019902,ARR,B,F,19,N
110019902,VIC,B,M,49,N
110019903,SUS,U,U,,N
110019903,VIC,W,M,52,N
110019904,SUS,U,U,,N
110019904,VIC,W,F,30,N
110019905,SUS,U,U,,N
110019905,VIC,B,F,19,N
110019907,SUS,U,U,,N
110019907,VIC,B,M,34,N
110019910,SUS,B,F,,N
110019910,SUS,B,F,,N
110019910,VIC,B,F,23,N
110019911,SUS,U,U,,N
110019911,VIC,B,F,23,N
110019913,SUS,B,M,19,N
110019913,VIC,B,F,19,N
110019915,SUS,U,U,,N
110019915,VIC,B,M,40,N
110019917,ARR,B,M,43,N
110019917,VIC,B,F,46,N
110019918,ARR,B,M,40,N
110019918,VIC,,,,N
110019919,SUS,U,U,,N
110019919,VIC,B,F,67,N
110019921,SUS,B,M,29,N
110019921,VIC,B,M,27,N
110019924,SUS,U,U,,N
110019924,VIC,,,,N
110019925,SUS,W,F,,N
110019925,VIC,W,M,,N
110019927,SUS,U,U,,N
110019927,VIC,B,M,21,N
110019927,VIC,B,M,53,N
110019929,SUS,U,U,,N
110019929,VIC,B,F,50,N
110019932,SUS,U,U,,N
110019932,VIC,W,F,64,N
110019935,SUS,U,U,,N
110019935,VIC,B,F,45,N
110019936,SUS,U,U,,N
110019936,VIC,B,F,63,N
110019941,VIC,B,F,37,N
110019943,SUS,U,U,,N
110019943,VIC,B,F,51,N
110019944,VIC,,,,N
110019944,VIC,,,,N
110019946,SUS,U,U,,N
110019946,VIC,W,F,28,N
110019947,SUS,B,M,54,Y
110019947,VIC,B,F,41,Y
110019947,VIC,B,F,32,Y
110019947,VIC,B,M,15,Y
110019948,SUS,W,M,55,N
110019948,VIC,B,M,25,N
110019949,SUS,U,U,,N
110019949,VIC,W,F,47,N
110019951,SUS,B,M,28,Y
110019951,SUS,B,M,28,Y
110019951,VIC,B,M,47,Y
110019956,SUS,B,M,,N
110019956,VIC,B,M,27,N
110019957,SUS,B,M,,Y
110019957,SUS,B,M,,Y
110019957,SUS,B,F,,Y
110019957,VIC,B,M,55,Y
110019957,VIC,B,M,52,Y
110019958,ARR,B,M,38,N
110019958,VIC,,,,N
110019960,SUS,U,U,,N
110019960,VIC,B,F,19,N
110019960,SUS,U,U,,N
110019960,VIC,B,F,19,N
110019961,ARR,B,F,18,N
110019961,VIC,W,M,54,N
110019962,SUS,U,U,,N
110019962,VIC,U,U,,N
110019963,SUS,B,M,18,N
110019963,SUS,B,M,18,N
110019963,SUS,B,M,18,N
110019963,SUS,B,M,,N
110019963,SUS,B,M,,N
110019963,VIC,B,F,37,N
110019964,SUS,U,U,,N
110019964,VIC,B,F,22,N
110019965,ARR,W,M,32,N
110019970,SUS,U,U,,Y
110019970,SUS,B,M,,Y
110019970,VIC,B,F,21,Y
110019970,VIC,B,F,19,Y
110019970,VIC,B,F,13,Y
110019970,VIC,B,M,2,Y
110019971,SUS,W,M,,Y
110019971,SUS,B,M,,Y
110019971,VIC,B,M,27,Y
110019972,SUS,B,M,,Y
110019972,VIC,B,M,23,Y
110019973,ARR,B,M,45,N
110019973,VIC,W,F,30,N
110019973,VIC,W,F,34,N
110019974,SUS,U,U,,N
110019974,VIC,W,F,21,N
110019975,SUS,U,U,,N
110019975,VIC,W,F,29,N
110019977,SUS,U,U,,N
110019977,VIC,W,F,31,N
110019977,SUS,U,U,,N
110019977,VIC,W,F,31,N
110019978,SUS,U,U,,N
110019978,VIC,W,M,15,N
110019979,SUS,B,M,27,N
110019979,VIC,W,M,45,N
110019980,SUS,B,M,,N
110019980,VIC,B,F,23,N
110019981,SUS,B,M,,N
110019981,VIC,B,F,43,N
110019982,ARR,W,F,27,N
110019982,VIC,W,M,33,N
110019983,SUS,B,M,,Y
110019983,SUS,U,U,,Y
110019983,VIC,B,F,31,Y
110019983,VIC,B,F,56,Y
110019983,VIC,B,M,9,Y
110019983,VIC,B,M,10,Y
110019983,VIC,B,F,4,Y
110019983,VIC,B,F,5,Y
110019983,VIC,B,M,53,Y
110019984,ARR,W,M,26,N
110019984,VIC,,,,N
110019985,SUS,U,U,,N
110019985,VIC,B,F,28,N
110019986,ARR,W,M,34,N
110019986,VIC,W,M,23,N
110019987,ARR,B,M,29,N
110019987,VIC,B,M,16,N
110019989,ARR,W,M,25,N
110019989,VIC,W,F,23,N
110019991,SUS,W,M,28,N
110019991,VIC,W,F,23,N
110019992,ARR,W,M,25,N
110019993,ARR,W,M,36,N
110019993,VIC,W,F,26,N
110019993,VIC,,,,N
110019993,ARR,W,M,36,N
110019993,VIC,W,F,26,N
110019993,VIC,,,,N
110019996,ARR,B,M,27,N
110019996,ARR,B,M,28,N
110020001,ARR,B,M,42,N
110020001,VIC,B,F,36,N
110020002,ARR,B,M,41,N
110020002,VIC,B,F,43,N
110020003,SUS,B,F,21,N
110020003,SUS,B,M,23,N
110020003,VIC,B,F,21,N
110020003,VIC,B,M,23,N
110020007,SUS,U,U,,N
110020007,VIC,U,U,,N
110020009,SUS,U,U,,N
110020009,VIC,B,F,45,N
110020011,SUS,U,U,,N
110020011,VIC,W,F,42,N
110020012,SUS,U,U,,N
110020012,VIC,W,M,18,N
110020015,SUS,W,F,40,N
110020015,VIC,,,,N
110020017,SUS,U,U,,N
110020017,VIC,W,M,32,N
110020019,SUS,W,M,41,N
110020019,VIC,W,F,68,N
110020019,VIC,W,F,47,N
110020021,ARR,W,M,32,N
110020021,VIC,,,,N
110020022,SUS,U,M,,N
110020022,VIC,,,,N
110020026,VIC,B,F,23,N
110020026,SUS,U,U,,N
110020026,VIC,B,F,23,N
110020029,SUS,U,U,,N
110020029,VIC,B,M,81,N
110020031,SUS,U,U,,N
110020031,VIC,W,F,49,N
110020031,VIC,I,F,51,N
110020032,SUS,U,U,,N
110020032,VIC,,,,N
110020033,SUS,U,U,,N
110020033,VIC,W,M,40,N
110020034,SUS,U,U,,N
110020034,VIC,,,,N
110020037,SUS,B,M,,N
110020037,VIC,B,F,17,N
110020038,SUS,U,U,,N
110020038,VIC,U,M,34,N
110020038,VIC,U,F,33,N
110020041,SUS,U,U,,N
110020041,VIC,B,F,20,N
110020042,SUS,U,U,,N
110020042,VIC,B,F,20,N
110020043,SUS,U,U,,N
110020043,VIC,B,M,28,N
110020044,SUS,U,U,,N
110020044,VIC,B,F,83,N
110020046,SUS,W,M,31,N
110020046,SUS,B,M,20,N
110020046,SUS,B,F,20,N
110020046,VIC,,,,N
110020046,VIC,B,M,38,N
110020049,SUS,U,U,,N
110020049,VIC,W,M,36,N
110020050,SUS,U,U,,N
110020050,VIC,B,M,62,N
110020051,ARR,W,F,40,N
110020051,VIC,W,M,19,N
110020052,SUS,U,U,,N
110020052,VIC,W,M,41,N
110020053,SUS,U,U,,N
110020053,VIC,B,F,39,N
110020054,SUS,B,M,40,N
110020054,VIC,,,,N
110020055,SUS,W,F,25,N
110020055,VIC,,,,N
110020057,SUS,B,M,,N
110020057,VIC,W,F,33,N
110020058,SUS,U,U,,N
110020058,VIC,B,M,52,N
110020060,SUS,U,F,,N
110020060,VIC,W,M,60,N
110020061,VIC,B,F,26,N
110020062,SUS,U,U,,N
110020062,VIC,W,F,75,N
110020065,SUS,U,U,,N
110020065,VIC,,,,N
110020066,SUS,U,U,,N
110020066,VIC,W,M,25,N
110020070,SUS,B,F,38,N
110020070,VIC,B,F,57,N
110020071,ARR,B,F,15,N
110020071,VIC,W,F,38,N
110020073,SUS,B,F,36,N
110020073,VIC,B,M,75,N
110020075,SUS,U,U,,N
110020075,VIC,U,F,,N
110020075,VIC,B,F,72,N
110020077,SUS,W,M,45,N
110020077,SUS,W,M,52,N
110020077,VIC,W,F,50,N
110020078,SUS,B,M,15,N
110020078,VIC,B,F,27,N
110020079,SUS,B,M,26,N
110020080,SUS,W,M,29,N
110020080,VIC,W,F,42,N
110020081,SUS,B,M,25,N
110020081,VIC,B,F,23,N
110020082,SUS,U,U,,N
110020082,VIC,W,M,39,N
110020084,SUS,W,M,20,N
110020084,VIC,,,,N
110020085,SUS,B,M,46,N
110020085,VIC,B,F,47,N
110020087,SUS,U,U,,N
110020087,VIC,W,M,30,N
110020090,SUS,U,U,,N
110020090,VIC,W,M,45,N
110020091,SUS,U,U,,N
110020091,VIC,W,F,57,N
110020092,SUS,U,U,,N
110020092,VIC,W,M,71,N
110020093,SUS,U,U,,N
110020093,VIC,W,F,31,N
110020094,SUS,U,U,,N
110020094,VIC,W,M,56,N
110020095,SUS,B,M,17,Y
110020095,SUS,B,M,,Y
110020095,SUS,B,M,,Y
110020095,VIC,B,F,20,Y
110020095,VIC,B,F,54,Y
110020100,ARR,B,M,51,N
110020100,ARR,B,M,59,N
110020100,ARR,B,F,35,N
110020100,SUS,B,M,,N
110020100,SUS,B,M,,N
110020100,VIC,,,,N
110020101,SUS,B,M,43,N
110020101,VIC,B,F,42,N
110020104,SUS,U,U,,N
110020104,VIC,B,F,32,N
110020106,ARR,B,F,25,N
110020106,VIC,W,M,39,N
110020106,VIC,,,,N
110020106,ARR,B,F,25,N
110020106,VIC,W,M,39,N
110020106,VIC,,,,N
110020106,ARR,B,F,25,N
110020106,VIC,W,M,39,N
110020106,VIC,,,,N
110020110,SUS,U,U,,N
110020110,VIC,B,F,24,N
110020112,SUS,U,U,,N
110020112,VIC,B,F,20,N
110020112,VIC,W,F,19,N
110020114,SUS,U,U,,N
110020114,VIC,,,,N
110020115,SUS,U,U,,N
110020115,VIC,,,,N
110020116,SUS,U,U,,N
110020116,VIC,,,,N
110020119,SUS,U,U,,N
110020119,VIC,,,,N
110020125,SUS,U,U,,N
110020125,VIC,,,,N
110020126,SUS,B,F,24,N
110020126,VIC,W,F,24,N
110020127,SUS,U,U,,N
110020127,VIC,W,M,26,N
110020128,SUS,U,U,,N
110020128,VIC,,,,N
110020130,SUS,U,U,,N
110020130,VIC,W,M,51,N
110020133,SUS,B,M,13,N
110020133,VIC,B,F,35,N
110020135,SUS,B,M,26,N
110020135,VIC,W,F,27,N
110020136,SUS,B,M,33,N
110020136,VIC,B,F,37,N
110020137,SUS,B,M,47,N
110020137,VIC,B,F,50,N
110020138,SUS,U,U,,N
110020138,VIC,B,M,37,N
110020140,SUS,B,F,21,N
110020140,VIC,B,F,5,N
110020141,VIC,U,U,,N
110020141,VIC,U,U,,N
110020142,ARR,B,F,16,N
110020142,VIC,B,F,19,N
110020143,SUS,B,F,19,N
110020143,VIC,B,F,57,N
110020144,ARR,W,F,39,N
110020148,SUS,U,U,,N
110020148,VIC,B,M,25,N
110020150,SUS,W,M,25,N
110020150,VIC,W,F,23,N
110020151,ARR,W,F,19,N
110020151,ARR,W,F,19,N
110020151,VIC,,,,N
110020152,SUS,U,U,,N
110020152,VIC,A,M,30,N
110020155,SUS,B,M,40,N
110020155,VIC,,,,N
110020156,SUS,U,U,,N
110020156,VIC,W,F,63,N
110020157,SUS,B,F,22,N
110020157,VIC,B,F,23,N
110020158,SUS,B,F,38,N
110020158,SUS,U,U,,N
110020158,VIC,B,F,37,N
110020158,VIC,B,F,37,N
110020159,SUS,U,U,,N
110020159,VIC,B,M,57,N
110020160,SUS,U,U,,N
110020160,VIC,B,F,51,N
110020162,SUS,U,U,,N
110020162,VIC,A,M,37,N
110020163,SUS,U,U,,N
110020163,VIC,B,M,40,N
110020163,VIC,B,M,53,N
110020164,SUS,W,M,52,N
110020164,VIC,W,F,50,N
110020166,SUS,U,U,,N
110020166,VIC,W,F,37,N
110020166,VIC,W,M,39,N
110020167,SUS,U,U,,N
110020167,VIC,W,M,53,N
110020168,SUS,U,U,,N
110020168,VIC,B,F,27,N
110020173,ARR,B,M,45,N
110020173,VIC,B,F,30,N
110020174,SUS,B,F,20,N
110020174,SUS,B,F,22,N
110020174,VIC,B,F,24,N
110020177,ARR,B,M,25,N
110020177,VIC,B,M,25,N
110020178,ARR,B,F,28,N
110020178,VIC,B,M,42,N
110020179,SUS,B,F,,N
110020179,VIC,,,,N
110020182,SUS,U,U,,N
110020182,VIC,U,M,,N
110020183,ARR,B,M,47,N
110020183,VIC,,,,N
110020188,ARR,W,M,17,N
110020188,VIC,W,M,22,N
110020190,SUS,U,U,,N
110020190,VIC,W,F,24,N
110020191,SUS,B,F,22,N
110020191,VIC,B,F,26,N
110020193,VIC,,,,N
110020195,ARR,B,F,24,N
110020195,VIC,,,,N
110020196,ARR,W,F,36,N
110020196,VIC,,,,N
110020198,SUS,W,M,36,N
110020199,SUS,B,M,14,N
110020199,SUS,B,F,33,N
110020199,VIC,B,F,31,N
110020201,SUS,U,U,,N
110020201,VIC,W,F,29,N
110020202,VIC,,,,N
110020203,SUS,U,U,,N
110020203,VIC,W,M,25,N
110020203,VIC,,,,N
110020204,SUS,B,F,14,N
110020204,VIC,W,F,16,N
110020205,SUS,W,M,41,N
110020205,VIC,W,F,47,N
110020206,SUS,U,U,,N
110020206,VIC,W,M,31,N
110020208,SUS,B,M,45,N
110020208,VIC,B,F,37,N
110020212,SUS,B,M,,N
110020212,VIC,W,F,13,N
110020215,SUS,U,U,,N
110020215,VIC,W,M,45,N
110020215,VIC,W,F,16,N
110020215,SUS,U,U,,N
110020215,VIC,W,M,45,N
110020215,VIC,W,F,16,N
110020218,SUS,U,U,,N
110020218,VIC,W,F,19,N
110020220,SUS,U,U,,Y
110020220,VIC,B,F,57,Y
110020220,VIC,B,M,16,Y
110020220,VIC,B,M,54,Y
110020220,VIC,B,M,19,Y
110020221,SUS,W,M,15,N
110020221,SUS,U,U,,N
110020221,VIC,B,M,34,N
110020221,VIC,B,F,32,N
110020221,VIC,B,M,12,N
110020222,SUS,B,M,30,N
110020222,VIC,B,F,27,N
110020223,ARR,B,M,62,N
110020223,VIC,B,F,43,N
110020224,SUS,U,U,,N
110020224,VIC,W,M,54,N
110020227,SUS,B,M,,Y
110020227,VIC,W,M,33,Y
110020232,SUS,B,M,58,N
110020232,VIC,B,F,46,N
110020232,VIC,W,M,48,N
110020232,SUS,B,M,58,N
110020232,VIC,B,F,46,N
110020232,VIC,W,M,48,N
110020236,SUS,U,U,,N
110020236,VIC,B,F,19,N
110020239,ARR,W,F,26,N
110020239,VIC,W,M,31,N
110020241,ARR,B,M,45,N
110020242,SUS,U,U,,Y
110020242,VIC,W,M,31,Y
110020242,VIC,W,F,29,Y
110020242,VIC,W,M,7,Y
110020242,VIC,W,F,9,Y
110020242,VIC,W,M,10,Y
110020242,SUS,U,U,,N
110020242,VIC,W,M,31,N
110020242,VIC,W,F,29,N
110020242,VIC,W,M,7,N
110020242,VIC,W,F,9,N
110020242,VIC,W,M,10,N
110020243,SUS,U,U,,N
110020243,VIC,,,,N
110020245,ARR,B,M,21,N
110020246,SUS,U,U,,N
110020246,VIC,U,U,,N
110020249,ARR,B,F,23,N
110020249,VIC,,,,N
110020249,ARR,B,F,23,N
110020249,VIC,,,,N
110020251,SUS,B,M,24,N
110020251,VIC,B,F,25,N
110020251,SUS,B,M,24,N
110020251,VIC,B,F,25,N
110020254,SUS,B,M,25,N
110020254,SUS,B,M,25,N
110020254,SUS,B,M,25,N
110020254,VIC,B,M,22,N
110020254,VIC,B,F,34,N
110020254,VIC,B,M,15,N
110020254,VIC,B,M,13,N
110020256,ARR,B,M,32,N
110020256,VIC,,,,N
110020257,ARR,B,M,31,N
110020257,VIC,B,F,24,N
110020260,SUS,W,M,29,N
110020260,VIC,W,F,22,N
110020260,VIC,W,M,30,N
110020263,SUS,B,M,37,N
110020263,VIC,B,F,22,N
110020264,VIC,W,F,50,N
110020265,SUS,U,U,,N
110020265,VIC,W,F,36,N
110020267,SUS,U,U,,N
110020267,VIC,W,M,54,N
110020268,SUS,U,U,,N
110020268,VIC,W,F,21,N
110020269,SUS,U,U,,N
110020269,VIC,W,F,83,N
110020271,SUS,U,U,,N
110020271,VIC,,,,N
110020273,SUS,U,U,,N
110020273,VIC,U,F,,N
110020273,VIC,U,F,,N
110020273,VIC,U,M,,N
110020273,VIC,U,M,,N
110020274,SUS,B,M,40,N
110020274,SUS,B,M,,N
110020274,VIC,B,F,36,N
110020275,SUS,U,U,,N
110020275,VIC,W,M,51,N
110020277,SUS,B,M,25,N
110020277,VIC,B,F,26,N
110020277,SUS,B,M,25,N
110020277,VIC,B,F,26,N
110020278,SUS,U,U,,N
110020278,VIC,W,F,45,N
110020278,VIC,W,F,,N
110020279,SUS,B,M,,N
110020279,SUS,W,M,,N
110020279,VIC,,,,N
110020280,SUS,U,U,,N
110020280,VIC,W,M,43,N
110020281,SUS,U,U,,N
110020281,VIC,W,M,29,N
110020282,SUS,B,M,,N
110020282,VIC,W,F,37,N
110020282,VIC,B,M,43,N
110020282,SUS,B,M,,N
110020282,VIC,W,F,37,N
110020282,VIC,B,M,43,N
110020283,SUS,U,U,,N
110020283,VIC,W,M,82,N
110020284,SUS,W,M,,N
110020284,SUS,W,F,,N
110020284,VIC,W,F,52,N
110020284,SUS,W,M,,N
110020284,SUS,W,F,,N
110020284,VIC,W,F,52,N
110020285,ARR,B,F,20,N
110020285,VIC,,,,N
110020286,SUS,U,U,,N
110020286,VIC,W,M,77,N
110020286,SUS,U,U,,N
110020286,VIC,W,M,77,N
110020287,SUS,B,M,32,Y
110020287,VIC,B,F,23,Y
110020288,SUS,U,U,,N
110020288,VIC,,,,N
110020289,VIC,,,,N
110020291,SUS,W,M,43,N
110020291,VIC,U,U,,N
110020292,SUS,U,U,,N
110020292,VIC,W,F,46,N
110020293,SUS,U,U,,N
110020293,VIC,B,M,46,N
110020297,SUS,U,U,,N
110020297,VIC,W,M,32,N
110020297,VIC,,,,N
110020300,ARR,W,M,24,N
110020300,VIC,,,,N
110020301,SUS,U,U,,N
110020301,VIC,W,M,22,N
110020302,SUS,U,U,,N
110020302,VIC,B,M,36,N
110020302,VIC,B,F,20,N
110020302,SUS,U,U,,N
110020302,VIC,B,M,36,N
110020302,VIC,B,F,20,N
110020306,SUS,U,U,,N
110020306,VIC,W,F,26,N
110020309,SUS,U,U,,N
110020309,VIC,W,M,61,N
110020310,SUS,U,U,,N
110020310,VIC,,,,N
110020310,SUS,U,U,,N
110020310,VIC,,,,N
110020311,ARR,B,F,31,N
110020311,VIC,W,M,32,N
110020313,SUS,B,M,23,N
110020313,VIC,B,F,23,N
110020313,VIC,,,,N
110020313,SUS,B,M,23,N
110020313,VIC,B,F,23,N
110020313,VIC,,,,N
110020314,SUS,U,U,,N
110020314,VIC,W,M,42,N
110020315,SUS,U,U,,N
110020315,VIC,W,M,41,N
110020316,SUS,U,U,,N
110020316,VIC,B,M,69,N
110020318,SUS,U,U,,N
110020318,VIC,B,F,27,N
110020319,SUS,B,M,15,N
110020319,VIC,W,M,54,N
110020320,ARR,W,M,34,N
110020320,VIC,W,M,5,N
110020321,SUS,U,U,,N
110020321,VIC,W,M,25,N
110020322,SUS,U,U,,N
110020322,VIC,W,M,72,N
110020325,SUS,B,F,49,N
110020325,VIC,B,M,30,N
110020326,VIC,U,U,,N
110020329,SUS,B,M,,N
110020329,VIC,W,F,50,N
110020329,VIC,,,,N
110020331,SUS,U,U,,N
110020331,VIC,W,M,45,N
110020332,SUS,U,U,,N
110020332,VIC,W,F,43,N
110020333,SUS,U,U,,N
110020333,VIC,W,M,34,N
110020334,SUS,B,M,28,N
110020334,VIC,B,F,27,N
110020336,SUS,U,U,,N
110020336,VIC,B,F,40,N
110020339,SUS,B,M,30,N
110020339,VIC,W,F,26,N
110020339,VIC,,,,N
110020341,SUS,U,U,,N
110020341,VIC,W,F,50,N
110020343,SUS,U,U,,N
110020343,VIC,W,F,23,N
110020346,SUS,U,U,,N
110020346,VIC,B,F,39,N
110020347,SUS,U,U,,N
110020347,VIC,,,,N
110020348,SUS,B,F,53,N
110020348,VIC,B,F,92,N
110020352,SUS,U,U,,N
110020352,VIC,W,M,37,N
110020352,VIC,W,F,37,N
110020353,SUS,B,M,19,N
110020353,VIC,B,M,3,N
110020354,SUS,U,U,,N
110020354,VIC,W,M,20,N
110020355,ARR,B,F,48,N
110020355,VIC,B,F,17,N
110020356,SUS,U,U,,N
110020356,VIC,W,F,45,N
110020357,ARR,W,M,35,N
110020357,VIC,,,,N
110020357,ARR,W,M,35,N
110020357,VIC,,,,N
110020358,SUS,U,U,,N
110020358,VIC,W,M,66,N
110020360,ARR,B,M,17,N
110020360,VIC,B,F,23,N
110020362,SUS,W,M,,N
110020362,SUS,B,M,,N
